outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
1.540000000000000000e+02,3.546112180445472006e+01,3.782638888888888995e-01,2.247222222222222121e-01,2.310416666666666730e-01
1.550000000000000000e+02,3.537771620772323899e+01,3.775694444444444575e-01,2.244444444444444464e-01,2.300694444444444375e-01
1.560000000000000000e+02,3.528795326968898394e+01,3.766666666666666496e-01,2.230555555555555625e-01,2.290277777777777746e-01
1.570000000000000000e+02,3.519990870125835869e+01,3.752777777777777657e-01,2.218749999999999889e-01,2.273611111111111249e-01
1.580000000000000000e+02,3.511206402878813293e+01,3.747222222222222343e-01,2.205555555555555602e-01,2.268749999999999933e-01
1.590000000000000000e+02,3.502222753080438622e+01,3.739583333333333370e-01,2.193055555555555591e-01,2.257638888888888751e-01
1.600000000000000000e+02,3.492919044673637785e+01,3.731944444444444398e-01,2.184027777777777790e-01,2.252083333333333437e-01
1.610000000000000000e+02,3.484269335215400076e+01,3.722222222222222321e-01,2.174999999999999989e-01,2.240277777777777701e-01
1.620000000000000000e+02,3.474868661861042085e+01,3.717361111111111005e-01,2.167361111111111016e-01,2.230555555555555625e-01
1.630000000000000000e+02,3.466383320265573786e+01,3.704861111111111271e-01,2.159027777777777768e-01,2.214583333333333404e-01
1.640000000000000000e+02,3.456962213876116863e+01,3.694444444444444642e-01,2.145138888888888928e-01,2.200694444444444564e-01
1.650000000000000000e+02,3.447758757938687779e+01,3.689583333333333326e-01,2.137499999999999956e-01,2.189583333333333381e-01
1.660000000000000000e+02,3.438238029701388143e+01,3.685416666666666563e-01,2.128472222222222154e-01,2.181944444444444409e-01
1.670000000000000000e+02,3.428871168945583037e+01,3.675694444444444486e-01,2.116666666666666696e-01,2.159722222222222321e-01
1.680000000000000000e+02,3.419367643930567624e+01,3.661805555555555647e-01,2.104166666666666685e-01,2.148611111111111138e-01
1.690000000000000000e+02,3.409814145812333663e+01,3.649999999999999911e-01,2.096527777777777712e-01,2.138888888888888784e-01
1.700000000000000000e+02,3.400978834410794605e+01,3.640972222222222388e-01,2.090277777777777846e-01,2.126388888888888773e-01
1.710000000000000000e+02,3.390965454082196828e+01,3.632638888888888862e-01,2.086805555555555636e-01,2.102777777777777857e-01
1.720000000000000000e+02,3.381936405992777850e+01,3.624999999999999889e-01,2.081250000000000044e-01,2.090972222222222121e-01
1.730000000000000000e+02,3.371696670970371201e+01,3.611805555555555602e-01,2.074999999999999900e-01,2.078472222222222110e-01
1.740000000000000000e+02,3.361848649963425117e+01,3.599305555555555314e-01,2.070833333333333415e-01,2.064583333333333270e-01
1.750000000000000000e+02,3.352832850015589372e+01,3.593055555555555447e-01,2.069444444444444309e-01,2.049999999999999878e-01
1.760000000000000000e+02,3.343417257480625437e+01,3.585416666666666474e-01,2.060416666666666785e-01,2.044444444444444564e-01
1.770000000000000000e+02,3.334323511911858162e+01,3.578472222222222054e-01,2.050694444444444431e-01,2.017361111111111160e-01
1.780000000000000000e+02,3.324929899999219174e+01,3.568055555555555425e-01,2.042361111111111183e-01,2.005555555555555425e-01
1.790000000000000000e+02,3.316468747856692545e+01,3.560416666666666452e-01,2.036805555555555591e-01,1.993749999999999967e-01
1.800000000000000000e+02,3.307004777805466489e+01,3.552777777777778034e-01,2.029861111111111172e-01,1.986111111111110994e-01
1.810000000000000000e+02,3.297794941782573375e+01,3.538194444444444642e-01,2.026388888888888962e-01,1.968749999999999944e-01
1.820000000000000000e+02,3.290305247743055617e+01,3.528472222222222010e-01,2.023611111111111027e-01,1.953472222222222276e-01
1.830000000000000000e+02,3.280402328510073318e+01,3.515277777777777724e-01,2.020833333333333370e-01,1.945833333333333304e-01
1.840000000000000000e+02,3.273576336662242170e+01,3.509027777777777857e-01,2.020833333333333370e-01,1.940277777777777712e-01
1.850000000000000000e+02,3.263549742770614159e+01,3.502083333333333437e-01,2.013194444444444398e-01,1.928472222222222254e-01
1.860000000000000000e+02,3.255325215017688123e+01,3.497222222222222121e-01,2.010416666666666741e-01,1.920138888888889006e-01
1.870000000000000000e+02,3.246991578301735615e+01,3.490277777777777701e-01,2.010416666666666741e-01,1.913888888888888862e-01
1.880000000000000000e+02,3.239135783251548162e+01,3.486111111111110938e-01,2.006944444444444531e-01,1.905555555555555614e-01
1.890000000000000000e+02,3.231378432099705122e+01,3.481944444444444176e-01,1.996527777777777901e-01,1.895833333333333259e-01
1.900000000000000000e+02,3.223848057375027309e+01,3.471527777777777546e-01,1.993055555555555691e-01,1.879166666666666763e-01
1.910000000000000000e+02,3.214897956905483767e+01,3.461805555555555469e-01,1.989583333333333204e-01,1.870833333333333237e-01
1.920000000000000000e+02,3.206427523000440516e+01,3.453472222222222499e-01,1.986805555555555547e-01,1.863888888888888817e-01
1.930000000000000000e+02,3.198356336837346348e+01,3.448611111111111183e-01,1.987500000000000100e-01,1.854861111111111016e-01
1.940000000000000000e+02,3.190147107832239115e+01,3.440277777777777657e-01,1.988888888888888928e-01,1.849305555555555425e-01
1.950000000000000000e+02,3.181999334508121535e+01,3.431944444444444686e-01,1.986111111111110994e-01,1.842361111111111005e-01
1.960000000000000000e+02,3.173706725433277498e+01,3.420833333333333504e-01,1.980555555555555680e-01,1.835416666666666585e-01
1.970000000000000000e+02,3.166049178760609450e+01,3.412499999999999978e-01,1.979861111111111127e-01,1.829166666666666718e-01
1.980000000000000000e+02,3.157937037284821358e+01,3.402083333333333348e-01,1.980555555555555680e-01,1.818055555555555536e-01
1.990000000000000000e+02,3.150197418944561889e+01,3.392361111111111271e-01,1.975694444444444364e-01,1.810416666666666563e-01
2.000000000000000000e+02,3.143520148598138420e+01,3.382638888888888640e-01,1.972916666666666707e-01,1.800694444444444486e-01
2.010000000000000000e+02,3.136254822105371076e+01,3.374305555555555669e-01,1.967361111111111116e-01,1.790972222222222132e-01
2.020000000000000000e+02,3.129069608601167118e+01,3.365972222222222143e-01,1.956249999999999933e-01,1.781250000000000056e-01
2.030000000000000000e+02,3.121893652404313357e+01,3.357638888888888618e-01,1.952777777777777724e-01,1.775694444444444464e-01
2.040000000000000000e+02,3.114901087522061829e+01,3.348611111111111094e-01,1.947222222222222132e-01,1.765972222222222110e-01
2.050000000000000000e+02,3.108037388484546781e+01,3.338888888888889017e-01,1.945833333333333304e-01,1.763194444444444453e-01
