mesh,k,evaluator,selected_ordinal_double,selected_ordinal_single,selected_ordinal_identical,escalation_double,escalation_single,final_requested_double,final_requested_single,relevant_classifier_mismatch,all_examined_classifier_mismatch_count,omega_double,omega_single,lambda_double,lambda_single,selected_min_abs_margin_double,selected_min_abs_margin_single
96x12,48,E1,1,1,1,0,0,3,3,0,0,103.918347263808,103.918348343734,10799.0228980414,10799.0231224896,0.103802859796147,0.103802866109852
96x12,48,E2,1,1,1,0,0,3,3,0,0,103.918099347259,103.918100428401,10798.9713719469,10798.9715966471,0.103803051531632,0.103803057845349
96x12,48,E3,1,1,1,0,0,3,3,0,0,103.918099100012,103.918100179633,10798.97132056,10798.9715449443,0.103803051723559,0.10380305803728
96x12,49,E1,1,1,1,0,0,3,3,0,0,104.601703484852,104.601704015788,10941.5163719329,10941.5164830065,0.10597640703677,0.10597640794139
96x12,49,E2,1,1,1,0,0,3,3,0,0,104.601450384102,104.601450914594,10941.4634224578,10941.4635334382,0.105976603740259,0.105976604644877
96x12,49,E3,1,1,1,0,0,3,3,0,0,104.601450131177,104.601450661171,10941.4633695452,10941.4634804214,0.10597660393716,0.105976604841779
96x12,50,E1,1,1,1,0,0,3,3,0,0,105.285731471346,105.285731410703,11085.0852514564,11085.0852386868,0.108310884301087,0.108310883005769
96x12,50,E2,1,1,1,0,0,3,3,0,0,105.285471039864,105.285470979775,11085.030412086,11085.0303994331,0.108311086162892,0.108311084867561
96x12,50,E3,1,1,1,0,0,3,3,0,0,105.285470778537,105.285470718935,11085.0303570582,11085.0303445076,0.108311086364956,0.108311085069628
96x12,51,E1,1,1,1,0,0,3,3,0,0,105.972339214422,105.972338585246,11230.1366785766,11230.136545226,0.110675136357063,0.110675132559707
96x12,51,E2,1,1,1,0,0,3,3,0,0,105.972070900878,105.972070270548,11230.0798110208,11230.0796774259,0.110675343548492,0.110675339751128
96x12,51,E3,1,1,1,0,0,3,3,0,0,105.972070631518,105.972070002256,11230.0797539314,11230.0796205631,0.11067534375589,0.110675339958527
96x12,52,E1,1,1,1,0,0,3,3,0,0,106.664410218723,106.664409157304,11377.296407308,11377.2961808768,0.11322645581814,0.113226450904223
96x12,52,E2,1,1,1,0,0,3,3,0,0,106.664131981128,106.664130919143,11377.2370512875,11377.2368247362,0.113226668282733,0.113226663368817
96x12,52,E3,1,1,1,0,0,3,3,0,0,106.664131701607,106.664130640895,11377.2369916577,11377.2367653779,0.113226668495415,0.113226663581494
96x12,53,E1,1,1,1,0,0,3,3,0,0,107.35655884001,107.356557168765,11525.4307259686,11525.4303671303,0.115827692609938,0.115827684036906
96x12,53,E2,1,1,1,0,0,3,3,0,0,107.356272399655,107.356270727319,11525.369223549,11525.3688644775,0.115827910320856,0.115827901747823
