outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,maxAbs,rms,l2,r_rho,r_rho_below_thr,utilPersistCount,beta,betaStallRel,betaStallFires,objRelRange_W10,nInner,innerConv,multN,degen,multJ
46,154.441406950137,155.934549002122,0.00966801637897208,0.499984275042058,47.1942536821234,0.506875,0.26171875,0.04,1,45,0,0.0230634363961705,0.00326767677367321,0.369695424862417,0.576585909904263,0,0,23883.8127071269,0.0235289461235718,0,0.00881004359541086,19,1,2,1,0
47,154.552277495459,155.887123778439,0.00863685935019273,0.49998324246582,46.8937154905466,0.50390625,0.25984375,0.04,1,46,0,0.031359102926021,0.00436431971220858,0.493766410203009,0.783977573150526,0,0,23927.9529737524,0.022426246805027,0,0.00820541111020053,27,1,2,1,0
48,154.703649152089,156.189459579451,0.00960423645793575,0.499981594330482,46.5103805443321,0.50125,0.2578125,0.04,1,47,0,0.0396185569183903,0.00589103606891312,0.666494648406881,0.990463922959756,0,0,23987.9564122454,0.0214853266870528,0,0.00805336788113934,36,1,2,1,0
49,154.885428659217,156.932164348297,0.0132145141527991,0.499988769247569,46.2939500293474,0.49890625,0.2578125,0.04,1,48,0,0.0396685191102776,0.00346486158443276,0.392004339556028,0.991712977756939,0,0,24024.9110380446,0.0204876600574194,0,0.00922094545925532,17,1,2,1,0
50,155.011712699538,156.840002012924,0.0117945236624107,0.499987323532701,46.1081991764026,0.4965625,0.2565625,0.04,1,49,0,0.0397498390977195,0.00293861959466653,0.332466854834619,0.993745977442986,0,0,24045.6581189228,0.0203405601953421,0,0.0084246016037251,16,1,2,1,0
51,155.127436256517,157.066976095012,0.0125028807624178,0.49996974390542,45.7810239308932,0.49421875,0.25515625,0.04,1,50,0,0.0397235434888777,0.00494629604836302,0.559609516408594,0.993088587221942,0,0,24109.2662703514,0.0197694060854964,0,0.00811343396249278,29,1,2,1,0
52,155.297725998088,157.149416863817,0.0119234898890403,0.499983863382338,45.4738340861925,0.4865625,0.25484375,0.04,1,51,0,0.0397868218037247,0.00487736196785191,0.551810515483112,0.994670545093116,0,0,24170.6234926644,0.0193318307151365,0,0.00806487045046114,27,1,2,1,0
53,155.474154528062,157.833766408095,0.0151768754568614,0.499964806276138,45.1264963455822,0.48203125,0.25453125,0.04,1,52,0,0.0397712623025835,0.00544792644680108,0.616362517430172,0.994281557564589,0,0,24236.3619764129,0.0190189616851858,0,0.00832323131485075,31,1,2,1,0
54,155.669840331995,157.790850178841,0.0136250531401754,0.49997358037459,44.7471370354124,0.4778125,0.2521875,0.04,1,53,0,0.0398484293495359,0.00556901229174506,0.630061816960667,0.996210733738398,0,0,24302.8155748432,0.0190866048779213,0,0.00884054571684215,30,1,2,1,0
55,155.932745341635,157.729037069207,0.0115196569112928,0.499992902430906,44.3876996789561,0.47125,0.24953125,0.04,1,54,0,0.039805894543696,0.00575299272294286,0.650876826641562,0.9951473635924,0,0,24376.4141857394,0.0190876796818634,0,0.00961473711895388,33,1,2,1,0
56,156.096669773476,158.041704588802,0.0124604504256832,0.499994678014885,43.9806812590985,0.46828125,0.2490625,0.04,1,55,0,0.0398056903518609,0.00602355796071297,0.681487788942457,0.995142258796522,0,0,24428.3468915957,0.019368302210967,0,0.00994616420293641,35,1,2,1,0
57,156.390283946154,158.25927014807,0.0119507820739016,0.499993032399065,43.6784187035347,0.465625,0.2484375,0.04,1,56,0,0.0398175841097805,0.00521950859115381,0.590519987082608,0.995439602744512,0,0,24502.7448796545,0.0198177356199523,0,0.0108493890825761,32,1,2,1,0
58,156.500615415994,158.600559220113,0.0134181185073148,0.499979154994403,43.4933355794432,0.46390625,0.24640625,0.04,1,57,0,0.0396187831340408,0.00302824096315763,0.342606355218503,0.99046957835102,0,0,24479.733628902,0.0204106355811306,0,0.0103777990849864,20,1,2,1,0
59,156.621873226769,158.718839431672,0.0133887187127845,0.499993982004954,43.2945939630164,0.46296875,0.245,0.04,1,58,0,0.0394519702165674,0.0031592894323313,0.357432797013193,0.986299255414186,0,0,24558.4590201954,0.0206565106885804,0,0.0103339753523428,25,1,2,1,0
