outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
70,166.677245392747,194.605440420619,342.599340199951,600.066001675732,708.675093184131,0.167558534832177,2,18,1499,1,0.294652020466253,0.0133124476752004,0.1,0.0317199235423431,0.499999272098172,-7.27901828367905e-07,0.122490008253463,27784.2407983125,8.230200625,0.173429458333333,0.00889983333333333,8.047074375
71,166.656462917027,194.874028764367,342.488599455892,600.727320109702,708.263593451821,0.169315761017849,2,18,1517,1,0.28117722173224,0.0129138350255636,0.1,0.0322784692328797,0.49999935914473,-6.40855269906648e-07,0.122408253946044,27776.8185501144,8.55514295833333,0.174885,0.009008125,8.37046270833333
72,166.636045004061,195.133675375236,342.382483396129,601.366508977422,707.880037700422,0.17101720321363,2,18,1535,1,0.26611185027465,0.0124926929756619,0.1,0.0326752292909119,0.499999426550288,-5.7344971154949e-07,0.122334007208465,27769.8174432051,8.58802016666667,0.177948583333333,0.0089115,8.40036283333333
73,166.617743874719,195.378188385305,342.271872294708,601.982645793068,707.542499073769,0.172613335421295,2,18,1553,1,0.255226480282236,0.0121160915072764,0.1,0.0326812019740138,0.499999474809257,-5.25190743172477e-07,0.122257049047404,27763.5718731851,8.44713716666667,0.173104791666667,0.0087745,8.26445545833333
74,166.600630221749,195.615069644606,342.158397992157,602.586915806084,707.23821904145,0.174155640253214,2,18,1571,1,0.241405683045699,0.0117125708963933,0.1,0.0323327930503257,0.499999522847741,-4.77152258926417e-07,0.122175475120833,27757.6489869773,8.46155545833333,0.170759791666667,0.009107625,8.280874125
75,166.58593071065,195.838230394285,342.05967247033,603.171333943687,706.97598916477,0.175598860953293,2,18,1589,1,0.228945918686211,0.0113068565559372,0.1,0.0320630666352712,0.499999567520207,-4.32479793366358e-07,0.122098291880382,27752.5692040021,8.45635679166667,0.17208625,0.0090125,8.274452
76,166.572991533736,196.048524013612,341.964359512693,603.727155405187,706.746760577206,0.176952651258029,2,18,1607,1,0.217664600534205,0.0109088984773695,0.1,0.0317014472022586,0.499999596917237,-4.03082763389406e-07,0.122028655314214,27748.1548309601,8.51469895833333,0.170461625,0.00893616666666667,8.33446770833333
77,166.56124659386,196.245838041273,341.873711107835,604.249790247787,706.549580252926,0.178220276651719,2,18,1625,1,0.208093785143358,0.0105111026771918,0.1,0.0312213634863215,0.499999619510037,-3.80489963369701e-07,0.121966174473047,27744.1341380344,8.47483479166667,0.176416708333333,0.00899054166666667,8.28862370833333
78,166.55007241945,196.431446770814,341.787294493726,604.74045818718,706.379013312361,0.179413757780356,2,18,1643,1,0.199710713985181,0.0101356525789316,0.1,0.0307000662651653,0.499999639395081,-3.60604918592244e-07,0.121905248543733,27740.3612991542,8.37457825,0.173763875,0.00916520833333333,8.19083670833333
79,166.539765615535,196.606557048209,341.696945766529,605.2100248839,706.230737146264,0.180538211528918,2,18,1661,1,0.190286461028064,0.00975084635520283,0.1,0.030345582913135,0.499999664052128,-3.35947872298625e-07,0.121845538830495,27736.7842566561,8.48792829166667,0.173332666666667,0.00918591666666667,8.30459220833333
