iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
68,1,0.7527619319,0.2472380681,203.9656479,266.1535558,504.8016384,851.1955782,0.03227545216,0.1107710212,0.05765398316,0.06742020295,0.7527619319,0.6692154912,0.9757987104,0.9616517579
69,1,0.7509633417,0.2490366583,203.0744934,271.2384897,494.1008703,852.3023222,0.02935417285,0.1093584604,0.05324896473,0.1599780085,0.7509633417,0.6376276541,0.9771286344,0.8786165747
70,1,0.7518635166,0.2481364834,204.5487586,264.5483064,503.1712813,851.9604592,0.02675352588,0.1540720504,0.07335053746,0.1167617271,0.7518635166,0.6662007316,0.9758926413,0.8702731834
71,1,0.7607526344,0.2392473656,203.7312734,267.5776024,491.7515964,857.8143585,0.03094504344,0.1506973369,0.05875533748,0.07352682845,0.7607526344,0.6685070198,0.9732481057,0.9565993994
72,1,0.7465070307,0.2534929693,204.2345912,264.9466001,503.9504711,851.2322611,0.03068627347,0.1347434936,0.0686164983,0.07615388562,0.7465070307,0.6638170682,0.9748975678,0.9566970016
73,1,0.7686661157,0.2313338843,204.0302656,272.5692832,494.0780842,859.6502527,0.02414223067,0.111420908,0.05203109117,0.06051876702,0.7686661157,0.6685868028,0.9732336019,0.9547894906
74,1,0.7816999534,0.2183000466,205.1367461,267.6582636,504.7322447,853.6571402,0.0278680339,0.1367050158,0.06704503813,0.1725577463,0.7816999534,0.7031892508,0.9758009055,0.9488655264
75,1,0.7799753315,0.2200246685,205.2932486,268.1515422,493.3053901,861.8311523,0.02929066137,0.1476435666,0.05948793348,0.07638289513,0.7799753315,0.6956640037,0.9751224503,0.9569052061
76,1,0.7511183379,0.2488816621,203.9946534,265.8995899,504.6066257,850.4974124,0.03212546219,0.1152316779,0.05930422752,0.06878994977,0.7511183379,0.6686456776,0.9753083821,0.9613907125
77,1,0.7412991484,0.2587008516,202.9571206,269.9103544,493.868756,855.3864373,0.03041905632,0.1175219879,0.05097701664,0.08635450778,0.7412991484,0.6256462754,0.9764995483,0.9456910321
78,1,0.7428287976,0.2571712024,204.1794584,264.3680963,503.1305274,849.9618083,0.02804624254,0.1520661704,0.07329913524,0.1249602193,0.7428287976,0.6554978426,0.975428516,0.9332318125
79,1,0.7628171735,0.2371828265,203.5265962,267.6774052,491.6414492,857.1281867,0.03028359486,0.1436163624,0.05833623413,0.06975997653,0.7628171735,0.6697490823,0.972675496,0.9560516415
80,1,0.7584235055,0.2415764945,204.3702721,266.306065,504.5161442,852.4277388,0.03173865306,0.1308934237,0.06726402036,0.1066737097,0.7584235055,0.6769398647,0.9759905277,0.9581511601
