outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
48,153.172931837789,154.177771483116,0.00656016460134995,0.499989008349825,50.0501915729193,0.5411,0.2863,0.04,1,0,0.0208329607983508,0.00314561278294298,0.444856825961213,0.520824019958769,455.97236722963,9.14941832423241e-07,0.0127995579012838,0.0447473830289944,0.111172323488155,0.180486063628991,0.240725586568132,0.350483392317728,0.520824019958769,0.0396371417812906,0.0786403195735743,12478,8556,7980,468,23491.7294786423,24,1,2,1
49,153.286136794509,154.442238276021,0.00754211375985091,0.499981272635127,49.8184006620273,0.5365,0.2892,0.04,1,0,0.0284768048947297,0.00331149708834006,0.468316409408953,0.711920122368243,270.455757525035,3.71421051351994e-07,0.0085808921720921,0.0418287769698913,0.131685567463823,0.193197653227453,0.271263666396474,0.348779358478421,0.711920122368243,0.040559561536773,0.0827874272085015,11616,7360,6886,584,23539.2747200134,22,1,2,1
50,153.399622923214,154.963698072607,0.0101960820997287,0.499970265652446,49.5357029835745,0.5315,0.2901,0.04,1,0,0.0316367783292102,0.00381195449204551,0.53909177417998,0.790919458230254,290.362754196551,3.63528243264776e-07,0.0115954444719987,0.056250018998881,0.133570727428337,0.223907163846471,0.308540159454036,0.415075441294897,0.790919458230254,0.0473412696014851,0.0952988623011378,11934,8648,8310,726,23579.8303620338,26,1,2,1
51,153.538388276044,154.802732960318,0.008234713796791,0.499978439642259,49.2364271997068,0.5277,0.2823,0.04,1,0,0.0281374292056379,0.00413532415510386,0.584823150495693,0.703435730140947,431.996552952583,9.23884440619225e-10,0.0133785962052332,0.0592346780447815,0.14440696210214,0.24788013628554,0.336391121211645,0.457946636537664,0.703435730140947,0.0516019660403377,0.103383103877596,12038,9142,8792,984,23621.7396946081,31,1,2,1
52,153.694695591114,154.873859462359,0.00767211819972204,0.499972461796997,48.9254829733664,0.524,0.2781,0.04,1,0,0.0284108994569318,0.00431146037104899,0.609732573037162,0.710272486423296,460.58397808071,7.24447219514079e-07,0.0153869426051539,0.0569985597729342,0.151901083171893,0.255880796894817,0.354474732882878,0.484362367558629,0.710272486423296,0.0528115831618417,0.107786509276225,12274,9054,8720,1046,23668.7688413999,33,1,2,1
53,153.847829732373,155.112009483074,0.00821707886878057,0.499986658190319,48.6968053420899,0.521,0.2762,0.04,1,0,0.0270932007210602,0.00316764661661762,0.447972880602589,0.677330018026504,273.390121451478,1.07108811869271e-08,0.0117090777950267,0.0457154006703055,0.109475433479584,0.183463524413523,0.250084429896971,0.359032988820046,0.677330018026504,0.0392155474793091,0.0791911654154404,11970,8490,8034,500,23696.63782792,24,1,2,1
54,153.95767209602,155.11781306285,0.00753545407017153,0.499985565230491,48.480975400212,0.5181,0.2761,0.04,1,0,0.0390414980578511,0.00313298499041956,0.443070986416268,0.976037451446276,128.793420393801,1.85869423621209e-07,0.0106937828125154,0.0415154716246426,0.112078005894817,0.180892897155535,0.241433468890193,0.334393030973998,0.976037451446276,0.0382175947389335,0.078324624760489,11614,8126,7634,458,23732.6690728991,23,1,2,1
55,154.070822372743,155.34805632061,0.00828991452240717,0.499992471731561,48.2449268376949,0.5165,0.2759,0.04,1,0,0.0397258037803602,0.0034649727480566,0.490021145355481,0.993145094509004,152.1543089355,3.27409013483527e-07,0.0101842708561249,0.0462795915075199,0.115384544056632,0.184142623747279,0.261210557514446,0.379288696504015,0.993145094509004,0.0409697850064443,0.0866243187014149,11526,8626,8110,540,23779.8567342216,25,1,2,1
56,154.196740201928,155.630550533783,0.00929857745356713,0.499989016639928,48.0112874701743,0.5135,0.2748,0.04,1,0,0.0397526184074667,0.00352245267356481,0.498150034377272,0.993815460186668,157.032248602622,1.80870439967167e-07,0.0105957678121382,0.0485442107067842,0.102551880020294,0.173005666394416,0.261476118603281,0.36845464595826,0.993815460186668,0.0403952722026285,0.0880613168391202,11332,8554,8212,568,23815.8764993006,21,1,2,1
57,154.346450703359,155.484177726908,0.0073712548514322,0.49996539535127,47.8292283131541,0.5117,0.2743,0.04,1,0,0.0395205433042055,0.00282307661458446,0.399243323596367,0.988013582605138,102.053877892577,3.87185242978908e-07,0.0085228734901902,0.0372231318065624,0.0883495779190831,0.13585405585088,0.203775206038872,0.307426695462976,0.988013582605138,0.0326814321004477,0.0705769153646115,11590,7556,7124,336,23835.0702896288,19,1,2,1
58,154.457233757995,155.461867209102,0.00650428229655822,0.499971939274971,47.6448075145958,0.5105,0.2745,0.04,1,0,0.0394466838201454,0.00333264805851876,0.471307608297359,0.986167095503635,142.753874091667,5.31101315125759e-08,0.00625403585979498,0.0400261464153779,0.11355883819831,0.185163929423312,0.246381735754246,0.34247564477688,0.986167095503635,0.0376849041254307,0.0833162014629689,11312,6500,6098,488,23892.8480433231,20,1,2,1
59,154.547041234298,156.251073843782,0.0110259801538391,0.499989877390867,47.3968530959963,0.5075,0.2732,0.04,1,0,0.0395904738804676,0.00361520190778561,0.511266756870749,0.98976184701169,166.768380181167,1.05477376912312e-07,0.00987218288219268,0.0443936019260762,0.1188287094846,0.189795870201421,0.277213430338836,0.392546280898517,0.98976184701169,0.0420506937309543,0.0903800476946401,11660,8482,8118,584,23931.967465077,26,1,2,1
60,154.684478470051,156.530974105039,0.0119371746490089,0.499979557670312,47.1360759725577,0.5055,0.2726,0.04,1,0,0.039564394229086,0.00383937891131216,0.542970172746691,0.98910985572715,188.34014680466,1.85974652416815e-07,0.0106059470350213,0.0504530690785841,0.115390399121368,0.188388257902728,0.280794686679706,0.407044493374305,0.98910985572715,0.0434219622706802,0.0959844727828042,11720,8634,8256,584,23969.9802900298,28,1,2,1
