k,max_abs_density_error,mean_abs_density_error,rms_density_error,max_relative_density_error,n_changed,n_single_equal_single_0p1,n_cross_rho_eff_0p1
2180,2.96056443804815e-08,3.30611962557076e-09,7.44086659393405e-09,5.59350718922066e-08,768,0,0
2181,2.9355182062929e-08,3.3435645926882e-09,7.48075048541669e-09,5.43454115451033e-08,767,10,10
2182,2.96056443804815e-08,3.33388164048746e-09,7.49296136098304e-09,5.59350718922066e-08,768,0,0
2183,2.97041665708875e-08,3.27840353744415e-09,7.3670510615484e-09,5.43454115451033e-08,766,10,10
2184,2.96056443804815e-08,3.33268015400372e-09,7.47126527192821e-09,5.59350718922066e-08,771,0,0
2185,2.97041665708875e-08,3.33734101577006e-09,7.46265542395503e-09,5.43454115451033e-08,767,9,9
2186,2.93386976935039e-08,3.32663628629977e-09,7.46872862652672e-09,5.59350718922066e-08,768,0,0
2187,2.97041665708875e-08,3.3294042031581e-09,7.45210870409526e-09,5.43454115451033e-08,767,9,9
2188,2.95572316622028e-08,3.36845614299294e-09,7.47998289820414e-09,5.63052158776007e-08,772,0,0
2189,2.97286044670386e-08,3.36184107358512e-09,7.49526715122957e-09,5.43454115451033e-08,771,9,9
2190,2.95988856757745e-08,3.32869553718458e-09,7.47823336866201e-09,5.63052158776007e-08,770,0,0
2191,2.96064838201104e-08,3.32756642734154e-09,7.46486129682689e-09,5.43454119532736e-08,769,9,9
