mesh,k,representation,evaluator,batch_schedule,final_requested,escalation,mode,lambda,omega,residual,eigenpair_valid,diagnostic_finite,voidKE,voidSE,densityParticipation,IPR,pass_KE,pass_SE,pass_P,valid_structural,selected
96x12,4,single,E1,3,3,0,3,196197.00696295605,442.94131322665766,6.5235272141484736e-13,1,1,0,0,0.50361062419151281,0.0010078970072866082,1,1,1,1,0
96x12,4,double,E2,3,3,0,1,5122.1321204635897,71.56907237392133,2.5013095336674823e-11,1,1,0,0,0.5057153255721174,0.0012828359207809892,1,1,1,1,1
96x12,4,double,E2,3,3,0,2,69414.81215449181,263.46690903127057,6.5631912022956095e-12,1,1,0,0,0.50272130282011329,0.0012337924252917359,1,1,1,1,0
96x12,4,double,E2,3,3,0,3,196195.85017541924,442.94000742247164,7.0518979297543566e-13,1,1,0,0,0.50361064155099344,0.0010078970514313377,1,1,1,1,0
96x12,4,single,E2,3,3,0,1,5122.1317397977891,71.569069714491818,2.6427069439337166e-11,1,1,0,0,0.50571530957418886,0.0012828359193013262,1,1,1,1,1
96x12,4,single,E2,3,3,0,2,69414.807245991964,263.46689971605912,6.5080022742556496e-12,1,1,0,0,0.50272128768105107,0.0012337924246752664,1,1,1,1,0
96x12,4,single,E2,3,3,0,3,196195.83838217932,442.93999411001408,7.073847272253426e-13,1,1,0,0,0.50361062601920126,0.0010078970484186085,1,1,1,1,0
96x12,4,double,E3,3,3,0,1,5122.1320934162286,71.569072184961485,2.4219085715117637e-11,1,1,0,0,0.50571532557348853,0.0012828359207799843,1,1,1,1,1
96x12,4,double,E3,3,3,0,2,69414.811773540539,263.4669083083121,6.4807998573881207e-12,1,1,0,0,0.50272130282118621,0.0012337924253045486,1,1,1,1,0
96x12,4,double,E3,3,3,0,3,196195.84900569596,442.94000610206342,6.6024329598984567e-13,1,1,0,0,0.50361064155282298,0.0010078970514725422,1,1,1,1,0
96x12,4,single,E3,3,3,0,1,5122.1317126530166,71.569069524851429,2.5710382576746779e-11,1,1,0,0,0.50571530957555955,0.0012828359193000701,1,1,1,1,1
96x12,4,single,E3,3,3,0,2,69414.806864903643,263.46689899284053,6.6656798358063621e-12,1,1,0,0,0.50272128768212332,0.0012337924246880834,1,1,1,1,0
96x12,4,single,E3,3,3,0,3,196195.83721244906,442.93999278959791,6.8341222514154319e-13,1,1,0,0,0.50361062602103024,0.0010078970484597648,1,1,1,1,0
96x12,5,double,E1,3,3,0,1,5230.7274894217462,72.323768495714788,2.5735600199548876e-11,1,1,0,0,0.5072669358944335,0.0012846897556159224,1,1,1,1,1
96x12,5,double,E1,3,3,0,2,70570.613907620937,265.65130134750126,6.3736467977964278e-12,1,1,0,0,0.5035011902920159,0.0012352096840245405,1,1,1,1,0
96x12,5,double,E1,3,3,0,3,196466.05687464567,443.24491748315137,7.7631068634222921e-13,1,1,0,0,0.50469869776769238,0.0010111133601115724,1,1,1,1,0
