outer,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,beta,box_max,box_mean,N,multJ,max_abs_drho,l2_drho,rms_drho,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike
11,148.86432837313018,149.93346434753678,394.6449796610935,22160.58826198313,22480.043731254085,0.00718194873204818,319.4554692709535,0.4999696872796566,0.5460423469358925,22537.191700119576,0.1,0.08084328526078247,2,0,0.09966971431789522,2.763475349868668,0.01628393466278335,376.6034381364443,361.380094333359,0.959577257503502,2.763475349868668,0.15000000000000002,False,19,1,False
12,150.07320998871347,150.5173891224332,396.7350749202187,22521.96835631649,22655.484428233973,0.0029597496698653544,133.5160719174819,0.49995822101936865,0.5349582841433486,22753.845067646573,0.1,0.07681049814960306,2,0,0.09941031626457797,2.205004614286961,0.01299311429424948,231.8767113300819,206.44516920421665,0.8903229997528176,2.205004614286961,0.15000000000000002,False,22,1,False
13,150.75945584115348,152.30351236228412,401.90335987712507,22728.413525520707,23196.359877888433,0.010241855229018106,467.9463523677259,0.49995912688683264,0.5240983012712298,22923.205580644415,0.1,0.07412733005035672,2,0,0.09900090153814371,2.3345898004090007,0.01375670232631794,194.79205512370754,188.32510877759705,0.966800769456416,2.3345898004090007,0.15000000000000002,False,24,1,False
14,151.38275540595205,153.87515008681754,404.9863108764127,22916.738634298305,23677.561814240624,0.01646419154005894,760.8231799423193,0.49995731763343343,0.5158281659920095,23061.547812009332,0.1,0.07207241626539306,2,0,0.07075510224351564,1.8081064386121026,0.010654369365413965,144.8091777110276,146.0317744981403,1.0084428128550833,1.8081064386121026,0.15000000000000002,False,21,1,False
15,151.86431578483618,153.65163369740003,402.0603338404954,23062.770408796445,23608.824537879995,0.011769176342230066,546.0541290835499,0.4999710784960552,0.508377723266163,23209.737218370534,0.1,0.06901277477452057,2,0,0.09063840622762183,1.7836515495190364,0.01051026754949003,146.96680957408898,127.97504949105132,0.8707751761225822,1.7836515495190364,0.15000000000000002,False,18,1,False
16,152.28507956555526,154.69946071955704,403.54163291822846,23190.745458287496,23931.92314692177,0.01585435133165779,741.1776886342741,0.4999490481289064,0.5001440846802527,23300.467795993187,0.1,0.0674839021249845,2,0,0.09545226617518641,1.9243678057783693,0.011339446041358016,109.72233770569073,118.16378270451605,1.0769346076226327,1.9243678057783693,0.15000000000000002,False,22,1,False
17,152.67255562474878,154.17144942164114,400.15059251015197,23308.909240992012,23768.835816769653,0.009817702931340625,459.9265757776411,0.499980159959909,0.49225507206499913,23430.850180400692,0.1,0.06433574955383692,2,0,0.0885426321694769,1.809798617304382,0.010664340623983049,121.9409394086797,123.89579299600518,1.0160311507915638,1.809798617304382,0.15000000000000002,False,24,1,False
18,153.0777744611804,154.23253827734996,398.74290473687256,23432.805033988017,23787.675863474222,0.007543641264933531,354.87082948620446,0.4999536605841859,0.4873254826168289,23466.88716450404,0.1,0.06113696582247219,2,0,0.06362530347099522,1.1966001382508746,0.007051033934382948,34.082130516024336,68.57589953244678,2.012077839447407,1.1966001382508746,0.15000000000000002,False,18,1,False
19,153.30160120990408,154.51729955813488,398.55723066246355,23501.380933520464,23875.595862738388,0.007930108613583495,374.2149292179238,0.49996735995664787,0.4811921321796736,23596.68878166473,0.1,0.05961170953149231,2,0,0.07154869593156692,1.584326674738136,0.009335734461017245,95.30784814426443,78.17514394804675,0.8202382644261945,1.584326674738136,0.15000000000000002,False,24,1,False
20,153.5563612406484,155.55436321185994,400.30428470139964,23579.55607746851,24197.159914247244,0.013011521991461624,617.6038367787332,0.4999613563249636,0.47369651824386494,23696.178912533254,0.1,0.059613453660039895,2,0,0.08170988265286737,1.8881592011075847,0.011126084792191227,116.62283506474341,112.23407499164023,0.9623679181639964,1.8881592011075847,0.15000000000000002,False,29,1,False
