outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage,exA,exB,exE,exDecl
11,34684e6bd5bfbd99353bb3e33fd10b17bf8631b08040b2e2426caf6ae28dc4f5,118.33864396825841,254.2256848008226,492.1648102359848,14004.034656246222,64630.6988124472,1.1482896564964251,50626.664156200975,0.4997855771446338,0.7900644837583882,0.8969444444444444,0.3709722222222222,0.8245833333333333,0.002916666666666667,0.0,14949.893643729203,0.04,0.04,nan,2,0,0.03984903260424582,2.987070706317488,0.017601482936006548,0.016944444444444446,0.0,0.030694444444444444,0.4400370734001638,945.8589874829813,1004.9369689701562,1.062459607900314,2.987070706317488,0.15000000000000002,False,16,1,False,1.0,0.0,0.0,0.0,0.0
12,124d012e287bbcf8a3df2c69f719ba8d049d3039ba8d95ff8694e8417c5dca54,122.51110817071397,229.74717323631168,503.019147225325,15008.971625216378,52783.76361007581,0.8753170766863757,37774.79198485943,0.4997909406983472,0.7628207269318346,0.8504166666666667,0.3576388888888889,0.7644444444444445,0.02875,0.0,15981.44731603113,0.04,0.04,nan,2,1,0.03984530540099689,2.9397299002524266,0.017322524561044533,0.0775,0.0,0.02625,0.43306311402611314,972.4756908147519,1086.2322969667148,1.1169762979439168,2.9397299002524266,0.15000000000000002,False,16,1,False,1.0,0.0,0.0,0.0,0.0
13,348620c98cb097829bb85f35e2761fef0d669d08f4798517fe3e46be2cd798db,126.86687480261777,206.05972874044932,500.4006199944529,16095.203922183093,42460.61180858756,0.6242201052169173,26365.407886404464,0.4998248960034108,0.7373789395689484,0.8216666666666667,0.34902777777777777,0.7291666666666666,0.04763888888888889,0.0,17077.05981215799,0.04,0.04,nan,2,1,0.03977815233589663,2.7236098983544963,0.016049025236943897,0.15958333333333333,0.0,0.02361111111111111,0.4012256309235974,981.8558899748969,1000.4449681908154,1.0189325932712934,2.7236098983544963,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
14,0541b599893465524c88a3c42b4c57a3238d964495198040534f4564f03e720f,130.75033036430122,186.68989211561353,494.32533628838536,17095.64889037391,34853.11581813942,0.42783495533396754,17757.466927765512,0.4998494649342235,0.7184421714096,0.7990277777777778,0.3497222222222222,0.7016666666666667,0.06347222222222222,0.0,17807.715655024134,0.04,0.04,nan,2,0,0.03975078006761344,2.4436018801883614,0.014399062166678231,0.06138888888888889,0.0,0.013194444444444444,0.35997655416695584,712.0667646502261,708.6608020556669,0.9952167931946209,2.4436018801883614,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
15,bc269996cb5987a9a6c92cbf8ded37a21826ecd551bd674e2f2774f15a8d1f0d,133.43279091898503,174.61632845047419,488.6992296652238,17804.309692429575,30490.86216152388,0.30864630236576646,12686.552469094306,0.49987093439059627,0.7025914231399684,0.7808333333333334,0.3452777777777778,0.6797222222222222,0.0763888888888889,0.0,18414.55343907423,0.04,0.04,nan,2,1,0.03972147072752215,2.2690212193391477,0.013370335757090665,0.01888888888888889,0.0,0.011111111111111112,0.3342583939272667,610.2437466446536,596.3062623895021,0.9771607913529882,2.2690212193391477,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
16,4683711f73c7a62ffd18c76a0eebfa87ae7a8628c2ac29cd4aa0701c8b3c4205,135.64887008309017,166.43008894366147,472.87369300515286,18400.615954819077,27698.974505795068,0.2269183579761233,9298.35855097599,0.4998876723975746,0.6885172287032212,0.76,0.34430555555555553,0.6552777777777777,0.08805555555555555,0.0,18943.760484460967,0.04,0.04,nan,2,1,0.03969131137076537,2.1250281807206117,0.012521848640000473,0.03680555555555556,0.0,0.004861111111111111,0.31304621600001187,543.1445296418897,523.6130900608659,0.9640400694196417,2.1250281807206117,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
17,0cd56b4dfd2aa5f1b2818cb4e3b4b6781f8d3bdb92ec8f79ff1fb6758fb87973,137.56536280939306,160.3967730415971,449.6001836149551,18924.229044879943,25727.12480215761,0.16596772447609967,6802.895757277667,0.4998992336958683,0.6757448485856318,0.7438888888888889,0.34555555555555556,0.6365277777777778,0.09847222222222222,0.0,19419.0505810181,0.04,0.04,nan,2,0,0.039711027694524774,2.000228281025432,0.011786458178618286,0.025833333333333333,0.0,0.006527777777777778,0.2946614544654573,494.82153613815535,468.30789183787783,0.9464177640544836,2.000228281025432,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
18,e510fd96bb4c598e9b5c43d8f69c6b04649ccfdd38432445ba46afe2a7c25bb1,139.25708935891853,155.7246318431151,432.07920898247437,19392.53693671782,24250.160962673737,0.11825281254984042,4857.624025955916,0.49990138929931616,0.6646570731446134,0.7320833333333333,0.3466666666666667,0.6227777777777778,0.10611111111111111,0.0,19818.189887209697,0.04,0.04,nan,2,0,0.03973134661054793,1.7936696678963315,0.010569299878150988,0.05430555555555556,0.0,0.0022222222222222222,0.2642324969537748,425.65295049187625,406.8760143224208,0.9558867472955205,1.7936696678963315,0.15000000000000002,False,14,1,False,1.0,0.0,0.0,0.0,0.0
19,204288842ab989c25cdddcc371bd4de0474164b7cd871615ebfbb5d763d89bdb,140.71038679159489,152.16741998350815,418.99171717176495,19799.41295104024,23154.923704437355,0.0814227965195078,3355.510753397113,0.49991543401654964,0.6539060937700709,0.7191666666666666,0.34708333333333335,0.6077777777777778,0.11541666666666667,0.0,20204.56910270759,0.04,0.04,nan,2,0,0.0397047858481814,1.782740954157829,0.010504901814866473,0.08722222222222223,0.0,0.0009722222222222222,0.26262254537166185,405.15615166735006,385.7346906736748,0.9520642574134698,1.782740954157829,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
20,ce9cc7cc97df7a7cec4036f8a6ac6fc021725a98b7ce8277d782b2faa3fb6d2b,142.0744440133901,149.07332457696478,407.44802176694816,20185.147641713917,22222.85610042909,0.04926206547685003,2037.708458715173,0.4999272016979317,0.64388268076408,0.7098611111111112,0.34569444444444447,0.5970833333333333,0.12125,0.0,20574.015965633218,0.04,0.04,nan,2,0,0.03969699712745031,1.6964348130555167,0.009996338001270741,0.07180555555555555,0.0,0.003611111111111111,0.2499084500317685,388.8683239193015,360.2091818406625,0.9263011659324909,1.6964348130555167,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
