k,ratio_E1_double,ratio_E1_single,ratio_E2_double,ratio_E2_single,ratio_E3_double,ratio_E3_single,binding_evaluator_double,binding_evaluator_single,Q_double,Q_single,delta_Q_single_minus_double,H0_double,H0_single,pass_q0_980_double,pass_q0_980_single,pass_q0_990_double,pass_q0_990_single,pass_q0_995_double,pass_q0_995_single
74,0.753553849902087,0.753553854296783,0.751988377686063,0.751988382052572,0.751988374727269,0.751988379100212,3,3,0.751988374727269,0.751988379100212,4.37294311872449e-09,0,0,0,0,0,0,0,0
75,0.758368796217379,0.758368797770673,0.756793161260331,0.756793162807422,0.756793158132783,0.756793159670098,3,3,0.756793158132783,0.756793159670098,1.53731483099051e-09,0,0,0,0,0,0,0,0
76,0.763218943105257,0.763218939767943,0.761633087668613,0.76163308432672,0.761633084370415,0.761633081029325,3,3,0.761633084370415,0.761633081029325,-3.34109007127381e-09,0,0,0,0,0,0,0,0
77,0.768154805696248,0.76815480116964,0.766558537719302,0.766558533184166,0.76655853424539,0.76655852970576,3,3,0.76655853424539,0.76655852970576,-4.53963044932948e-09,0,0,0,0,0,0,0,0
78,0.773102610159017,0.773102600710661,0.7714959271573,0.771495917719538,0.771495923522551,0.771495914083899,3,3,0.771495923522551,0.771495914083899,-9.43865152702728e-09,0,0,0,0,0,0,0,0
79,0.778163956528722,0.778163946262029,0.77654663548812,0.776546625235102,0.776546631718608,0.776546621455489,3,3,0.776546631718608,0.776546621455489,-1.0263119687437e-08,0,0,0,0,0,0,0,0
80,0.783359174293839,0.783359158851423,0.781730953547847,0.781730938121056,0.781730949650014,0.781730934217231,3,3,0.781730949650014,0.781730934217231,-1.5432783273539e-08,0,0,0,0,0,0,0,0
81,0.788301749214476,0.788301731046311,0.789611569889986,0.789611552329671,0.789611566032191,0.789611548469323,1,1,0.788301749214476,0.788301731046311,-1.81681648614429e-08,0,0,0,0,0,0,0,0
82,0.79369345344272,0.793693467811408,0.797166733265434,0.797166746329325,0.797166729308064,0.797166742382396,1,1,0.79369345344272,0.793693467811408,1.4368687795141e-08,0,0,0,0,0,0,0,0
83,0.798675871585714,0.79867588500363,0.803895052346273,0.803895065690128,0.803895048483342,0.803895061828053,1,1,0.798675871585714,0.79867588500363,1.34179160005132e-08,0,0,0,0,0,0,0,0
